147791:ApriltagsCameraLog(1):,tag,last yaw,cam yaw,calc yaw,update yaw, est yaw,x,est x,y,est y,adjust
152487:ApriltagsCameraLog(1):,7,168.997590,169.031000,169.031000,169.031000,169.092921,1.584382,1.591811,1.273599,1.292152,10.052726
152527:ApriltagsCameraLog(1):,7,169.092921,169.274000,169.274000,169.274000,169.203652,1.583679,1.588096,1.272995,1.282876,10.047648
152567:ApriltagsCameraLog(1):,7,169.203652,169.510000,169.510000,169.510000,169.377126,1.583452,1.585882,1.274682,1.277938,10.044420
152607:ApriltagsCameraLog(1):,7,169.377126,170.023000,170.023000,170.023000,169.572285,1.580657,1.584663,1.279641,1.276313,10.018074
152627:ApriltagsCameraLog(1):,7,169.572285,170.143000,170.143000,170.143000,169.699710,1.577629,1.582669,1.278461,1.277987,9.994947
152667:ApriltagsCameraLog(1):,7,169.699710,170.023000,170.023000,170.023000,169.900396,1.576395,1.580150,1.270074,1.278235,9.992214
152687:ApriltagsCameraLog(1):,7,169.900396,170.489000,170.489000,170.489000,169.984241,1.574007,1.578264,1.276116,1.274159,9.968070
152727:ApriltagsCameraLog(1):,7,169.984241,169.624000,169.624000,169.624000,170.227191,1.564892,1.576140,1.245217,1.275147,9.923912
152767:ApriltagsCameraLog(1):,7,170.227191,170.019000,170.019000,170.019000,170.365247,1.564476,1.570571,1.246267,1.260162,9.919567
152807:ApriltagsCameraLog(1):,7,170.365247,170.770000,170.770000,170.770000,170.549290,1.566138,1.567533,1.262275,1.253210,9.917585
152827:ApriltagsCameraLog(1):,7,170.549290,170.261000,170.261000,170.261000,170.659657,1.557719,1.566851,1.238876,1.257745,9.873399
152867:ApriltagsCameraLog(1):,7,170.659657,170.848000,170.848000,170.848000,170.734489,1.556036,1.562306,1.248117,1.248301,9.850734
152907:ApriltagsCameraLog(1):,7,170.734489,170.930000,170.930000,170.930000,170.813613,1.555516,1.559171,1.245382,1.248214,9.849321
152927:ApriltagsCameraLog(1):,7,170.813613,170.545000,170.545000,170.545000,170.850609,1.550794,1.557341,1.230085,1.246801,9.827724
152967:ApriltagsCameraLog(1):,7,170.850609,170.649000,170.649000,170.649000,170.815247,1.545345,1.554086,1.228782,1.238436,9.785940
153007:ApriltagsCameraLog(1):,7,170.815247,170.975000,170.975000,170.975000,170.768999,1.546155,1.549722,1.235287,1.233603,9.785407
153027:ApriltagsCameraLog(1):,7,170.768999,170.772000,170.772000,170.772000,170.785318,1.539978,1.547940,1.227982,1.234447,9.744279
153067:ApriltagsCameraLog(1):,7,170.785318,170.599000,170.599000,170.599000,170.683054,1.538898,1.543959,1.220713,1.231214,9.743809
153107:ApriltagsCameraLog(1):,7,170.683054,170.520000,170.520000,170.520000,170.526202,1.533576,1.541436,1.219375,1.225960,9.703179
153127:ApriltagsCameraLog(1):,7,170.526202,169.949000,169.949000,169.949000,170.431235,1.528741,1.537510,1.204167,1.222662,9.682864
153167:ApriltagsCameraLog(1):,7,170.431235,170.361000,170.361000,170.361000,170.194486,1.527933,1.533170,1.215865,1.213394,9.662549
153207:ApriltagsCameraLog(1):,7,170.194486,170.031000,170.031000,170.031000,169.983972,1.524521,1.530551,1.209791,1.214629,9.642708
153227:ApriltagsCameraLog(1):,7,169.983972,169.801000,169.801000,169.801000,169.866780,1.521511,1.527540,1.206469,1.212206,9.622901
153267:ApriltagsCameraLog(1):,7,169.866780,169.805000,169.805000,169.805000,169.635478,1.521977,1.524531,1.209078,1.209332,9.623441
153307:ApriltagsCameraLog(1):,7,169.635478,169.677000,169.677000,169.677000,169.373080,1.516902,1.523254,1.209003,1.209205,9.583390
153327:ApriltagsCameraLog(1):,7,169.373080,169.189000,169.189000,169.189000,169.216096,1.513287,1.520078,1.201233,1.209105,9.564328
153367:ApriltagsCameraLog(1):,7,169.216096,168.697000,168.697000,168.697000,168.771618,1.510133,1.516691,1.195891,1.205162,9.546141
153407:ApriltagsCameraLog(1):,7,168.771618,168.778000,168.778000,168.778000,168.266709,1.508982,1.513429,1.203557,1.200514,9.527417
153427:ApriltagsCameraLog(1):,7,168.266709,168.340000,168.340000,168.340000,168.007591,1.506651,1.511206,1.202201,1.202036,9.510679
153467:ApriltagsCameraLog(1):,7,168.007591,167.737000,167.737000,167.737000,167.351922,1.501196,1.508928,1.196965,1.202117,9.474190
153487:ApriltagsCameraLog(1):,7,167.351922,167.198000,167.198000,167.198000,167.080543,1.495522,1.505067,1.191052,1.199534,9.437045
153527:ApriltagsCameraLog(1):,7,167.080543,167.038000,167.038000,167.038000,166.603245,1.494608,1.500300,1.197241,1.195286,9.421814
153567:ApriltagsCameraLog(1):,7,166.603245,166.507000,166.507000,166.507000,166.181186,1.489077,1.497455,1.191642,1.196265,9.385413
153587:ApriltagsCameraLog(1):,7,166.181186,166.433000,166.433000,166.433000,165.993272,1.485597,1.493268,1.198269,1.193951,9.349339
153627:ApriltagsCameraLog(1):,7,165.993272,166.273000,166.273000,166.273000,165.713295,1.484241,1.489436,1.202020,1.196116,9.333848
153667:ApriltagsCameraLog(1):,7,165.713295,166.100000,166.100000,166.100000,165.407136,1.481643,1.486847,1.200500,1.199075,9.315255
153687:ApriltagsCameraLog(1):,7,165.407136,165.360000,165.360000,165.360000,165.293089,1.474717,1.484247,1.187092,1.199795,9.278184
153727:ApriltagsCameraLog(1):,7,165.293089,165.487000,165.487000,165.487000,165.011113,1.474101,1.479488,1.196000,1.193439,9.261510
153767:ApriltagsCameraLog(1):,7,165.011113,164.919000,164.919000,164.919000,164.736878,1.467306,1.476797,1.184796,1.194725,9.222875
153807:ApriltagsCameraLog(1):,7,164.736878,164.885000,164.885000,164.885000,164.376717,1.463572,1.472056,1.190132,1.189757,9.186201
153827:ApriltagsCameraLog(1):,7,164.376717,164.542000,164.542000,164.542000,164.288329,1.460243,1.467814,1.184272,1.189948,9.167924
153867:ApriltagsCameraLog(1):,7,164.288329,164.272000,164.272000,164.272000,164.114533,1.454793,1.464027,1.181036,1.187112,9.129468
153887:ApriltagsCameraLog(1):,7,164.114533,164.391000,164.391000,164.391000,164.043296,1.452893,1.459410,1.184820,1.184073,9.109247
153927:ApriltagsCameraLog(1):,7,164.043296,164.319000,164.319000,164.319000,164.018788,1.447673,1.456153,1.184320,1.184453,9.068808
153967:ApriltagsCameraLog(1):,7,164.018788,164.484000,164.484000,164.484000,164.045426,1.445293,1.451913,1.186832,1.184396,9.046583
154007:ApriltagsCameraLog(1):,7,164.045426,164.189000,164.189000,164.189000,164.129080,1.438360,1.448607,1.178138,1.185625,9.004161
154027:ApriltagsCameraLog(1):,7,164.129080,164.053000,164.053000,164.053000,164.169068,1.433883,1.443481,1.170447,1.181885,8.980077
154067:ApriltagsCameraLog(1):,7,164.169068,164.190000,164.190000,164.190000,164.191604,1.428265,1.438685,1.170464,1.176164,8.935879
154087:ApriltagsCameraLog(1):,7,164.191604,164.388000,164.388000,164.388000,164.244260,1.426078,1.433475,1.173770,1.173315,8.913823
154127:ApriltagsCameraLog(1):,7,164.244260,164.435000,164.435000,164.435000,164.354055,1.419362,1.429777,1.168994,1.173548,8.868074
154167:ApriltagsCameraLog(1):,7,164.354055,164.524000,164.524000,164.524000,164.429554,1.416665,1.424567,1.169488,1.171277,8.846135
